AG Mobile,AG_Tab_7_0,AG_Tab_7_0,AG_Tab_7_0
Acer,A1-713,acer_aprilia,A1-713
Acer,Icona One 7,vespa,B1-730HD
AllView,A5 Easy,A5_Easy,A5_Easy
Anydata,Auchan MID7317CP Tablet,MID7317CP,MID7317CP
Anydata,Vivitar Camelio Tablet,PI070H04CA,Camelio Family tablet
Archos,Archos Smarthome La Poste,hometablet,Archos Smart Home Tablet
Asus,ASUS Transformer Pad Infinity,TF700KL,ASUS Transformer Pad TF700KL
Cisco,Cisco Desktop Collaboration Experience DX70,CP-DX70,CP-DX70
Coolpad,Coolpad 5218S,msm8x25q_a5y_5218s,Coolpad 5218S
Coolpad,Karbonn Titanium S5 Plus,Karbonn,Karbonn Titanium S5 Plus
Coolpad,VodafoneSmart4turbo,VodafoneSmart4turbo,Vodafone Smart 4 turbo
Gionee,GN5001S,GiONEE_BBL7332,GN5001S
HTC,Desire 516 dual sim,htc_v2_dcg,HTC Desire 516 dual sim
HTC,HTC Desire 526G+ dual sim,htc_v02_dug,HTC Desire 526GPLUS dual sim
HTC,HTC ONE A9,htc_hiaeul,HTC One A9
Huawei,HUAWEI MediaPad M1 8.0,hws8301l,CNPC Security Pad S1
Huawei,MediaPad,hwt1701,HUAWEI MediaPad T1 7.0 3G
Lenovo,A706_ROW,armani_row,Lenovo A706_ROW
Motorola,DROID RAZR HD,vanquish,DROID RAZR HD
Motorola,Moto G Google Play edition,falcon_umts,XT1032
OPPO,R815,R815,R815
Samsung,,SCH-I919U,SCH-I919U
Samsung,Captivate Glide,SGH-I927,SAMSUNG-SGH-I927
Samsung,Galaxy Note Edge,tblteusc,SM-N915R4
Sony,Xperia E1 Dual,D2104,D2104
Sony,Xperia Z Ultra,C6802,C6802
Xiaomi,HM NOTE 1TD,lcsh92_wet_tdd,HM NOTE 1TD
Xiaomi,HM NOTE 1W,lcsh92_wet_jb9,HM NOTE 1W
ZTE,,V8200_OSK,V8200-Memphis-orange-Slovakia
ZTE,Avea inTouch 4,msm8916_32,Avea inTouch 4
